clean,ECAR,EAR,ENAR,error_rate,machine_learning_model,evaluation_metric
0.9989579715178881,0.6757554706495311,0.6971170545328239,0.7558179923584578,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9980896144494616,0.6629037860368183,0.6715873567210837,0.5977770059048281,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9993053143452588,0.6684612712747482,0.6695032997568601,0.6802709274053491,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9987843001042028,0.6693296283431747,0.682528655783258,0.742966307745745,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9993053143452588,0.6556095866620354,0.6556095866620354,0.6396318166029872,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9989579715178881,0.662730114623133,0.680791941646405,0.7026745397707538,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9994789857589441,0.6533518582841265,0.6415422021535255,0.5644320944772491,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9986106286905175,0.665508857242098,0.6658562000694686,0.6941646405001737,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9987843001042028,0.6573463007988884,0.6547412295936089,0.613581104550191,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9989579715178881,0.6589093435220563,0.6569989579715179,0.557658909343522,0.75,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
