clean,ECAR,EAR,ENAR,error_rate,machine_learning_model,evaluation_metric
1.0,0.8901734104046243,0.815028901734104,1.0,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
1.0,0.8728323699421965,0.9210019267822736,0.7610789980732178,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
1.0,0.8786127167630058,0.8554913294797688,0.9826589595375722,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
1.0,0.8901734104046243,0.8227360308285164,1.0,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
1.0,0.8709055876685935,0.8362235067437379,0.9556840077071291,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
1.0,0.9132947976878613,0.884393063583815,1.0,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
1.0,0.8978805394990366,0.9017341040462428,0.7803468208092486,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
1.0,0.8940269749518305,0.8747591522157996,1.0,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
1.0,0.8822393822393823,0.9111969111969112,0.861003861003861,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
0.9980694980694981,0.8687258687258688,0.862934362934363,0.749034749034749,0.25,"HistGradientBoostingClassifier(max_iter=200, random_state=1234)",f1_score
