,mechanism,type,rate,nrow,ncol,total_memory_MB
3082,ENAR,MissingValueNumeric,0.75,1000,4,0.258727
3083,ECAR,MissingValueNumeric,0.5,1000000,8,144.612
3084,ECAR,AddDelta,0.5,1000000,10,177.991
3085,EAR,MissingValueNumeric,0.25,1000,6,0.334414
3086,EAR,MissingValueNumeric,0.5,1000,6,0.379336
3087,ENAR,MissingValueNumeric,0.75,100,2,0.017155999999999998
3088,EAR,AddDelta,0.25,100000,4,27.25
3089,ENAR,MissingValueNumeric,0.75,100000,10,29.946
3090,ECAR,MissingValueNumeric,0.5,1000000,4,110.279
3091,ENAR,AddDelta,0.75,1000000,10,322.719
3092,ENAR,MissingValueNumeric,0.5,10000,6,2.426
3093,ENAR,AddDelta,0.75,100000,10,31.568
3094,ECAR,AddDelta,0.25,100000,10,16.702
3095,EAR,MissingValueNumeric,0.75,100,10,0.050734
3096,ENAR,AddDelta,0.1,1000000,2,161.624
3097,ENAR,MissingValueNumeric,0.1,1000000,4,161.578
3098,ENAR,AddDelta,0.9,100000,6,29.866
3099,ENAR,MissingValueNumeric,0.25,100000,8,21.459
3100,ENAR,MissingValueNumeric,0.9,100000,8,29.96
3101,EAR,MissingValueNumeric,0.25,1000,8,0.387195
3102,EAR,AddDelta,0.5,100000,4,31.089
3103,ENAR,AddDelta,0.5,100000,8,25.967
3104,ENAR,AddDelta,0.25,100,6,0.019391
3105,EAR,AddDelta,0.75,100,8,0.046703
3106,EAR,AddDelta,0.75,10000,8,4.957
3107,ENAR,MissingValueNumeric,0.75,1000000,4,254.007
3108,EAR,MissingValueNumeric,0.75,10000,10,5.386
3109,EAR,AddDelta,0.9,100000,4,41.23
3110,ECAR,MissingValueNumeric,0.25,1000,6,0.122516
3111,EAR,MissingValueNumeric,0.9,10000,6,4.474
3112,ECAR,MissingValueNumeric,0.9,1000,6,0.16906200000000002
3113,ECAR,AddDelta,0.9,100000,4,14.962
3114,ECAR,AddDelta,0.75,100,2,0.009688
3115,ECAR,AddDelta,0.9,100000,2,13.245
3116,ECAR,AddDelta,0.5,100000,2,11.146
3117,EAR,MissingValueNumeric,0.25,100000,8,35.928
3118,ENAR,AddDelta,0.1,100,4,0.018711
3119,ENAR,AddDelta,0.25,1000,4,0.212945
3120,ECAR,AddDelta,0.9,1000000,6,163.877
3121,ECAR,AddDelta,0.1,100,4,0.009266
3122,ENAR,MissingValueNumeric,0.25,100000,6,19.743
3123,ENAR,AddDelta,0.9,100,10,0.024289
3124,ECAR,MissingValueNumeric,0.1,100,4,0.008702999999999999
3125,ECAR,MissingValueNumeric,0.5,10000,8,1.545
3126,EAR,MissingValueNumeric,0.9,100000,2,33.466
3127,ENAR,AddDelta,0.9,10000,6,3.125
3128,EAR,AddDelta,0.1,100,10,0.044586
3129,ENAR,MissingValueNumeric,0.5,1000,8,0.262633
3130,ENAR,AddDelta,0.9,100000,2,27.433
3131,ENAR,AddDelta,0.25,1000,10,0.26568
3132,ECAR,MissingValueNumeric,0.25,100,10,0.012827999999999999
3133,ECAR,AddDelta,0.25,10000,8,1.527
3134,ENAR,AddDelta,0.25,100000,10,24.798
3135,ECAR,AddDelta,0.75,1000,10,0.204734
3136,ENAR,AddDelta,0.9,100,2,0.017477
3137,ENAR,MissingValueNumeric,0.75,1000000,10,305.505
3138,ECAR,AddDelta,0.5,1000,10,0.191062
3139,EAR,AddDelta,0.75,1000000,6,445.83
3140,EAR,MissingValueNumeric,0.25,100,8,0.040906
3141,ENAR,MissingValueNumeric,0.75,1000,6,0.276305
3142,ECAR,MissingValueNumeric,0.5,10000,10,1.717
3143,ENAR,MissingValueNumeric,0.1,10000,6,1.856
3144,ENAR,AddDelta,0.75,1000,8,0.310602
3145,EAR,MissingValueNumeric,0.5,1000000,4,317.295
3146,ECAR,MissingValueNumeric,0.1,1000000,10,141.751
3147,ECAR,AddDelta,0.75,10000,8,1.921
3148,ECAR,AddDelta,0.75,100,6,0.011797
3149,ECAR,AddDelta,0.9,1000000,6,163.878
3150,EAR,AddDelta,0.25,100,4,0.030188
3151,ECAR,MissingValueNumeric,0.9,1000000,4,130.497
3152,EAR,MissingValueNumeric,0.5,1000000,6,372.608
3153,ECAR,AddDelta,0.75,1000,2,0.134438
3154,EAR,AddDelta,0.9,100,8,0.047977
3155,ECAR,AddDelta,0.75,1000000,10,190.627
3156,EAR,MissingValueNumeric,0.25,100000,2,20.478
3157,EAR,AddDelta,0.25,1000000,4,281.508
3158,ECAR,AddDelta,0.5,1000,8,0.173484
3159,ENAR,MissingValueNumeric,0.9,100000,8,29.961
3160,EAR,AddDelta,0.1,100000,4,24.947
3161,ENAR,MissingValueNumeric,0.5,100000,10,26.061
3162,ENAR,MissingValueNumeric,0.1,100000,6,18.013
3163,EAR,AddDelta,0.9,10000,10,5.865
3164,ECAR,AddDelta,0.1,100000,10,15.914
3165,ECAR,MissingValueNumeric,0.75,10000,2,1.244
3166,EAR,AddDelta,0.5,100,8,0.04432
3167,ECAR,AddDelta,0.75,10000,10,2.093
3168,EAR,AddDelta,0.25,100,2,0.025453
3169,ECAR,AddDelta,0.1,100,10,0.013922
3170,ENAR,MissingValueNumeric,0.1,100000,10,21.445
3171,ENAR,MissingValueNumeric,0.5,1000000,4,218.352
3172,EAR,MissingValueNumeric,0.1,100000,10,38.088
3173,ENAR,AddDelta,0.9,100,4,0.019039
3174,ECAR,AddDelta,0.9,10000,2,1.491
3175,ENAR,MissingValueNumeric,0.75,100,10,0.022406
3176,ECAR,MissingValueNumeric,0.9,10000,2,1.328
3177,ECAR,MissingValueNumeric,0.9,1000000,4,130.497
3178,ECAR,MissingValueNumeric,0.1,1000000,4,90.253
3179,ENAR,MissingValueNumeric,0.1,1000000,8,195.909
3180,ECAR,MissingValueNumeric,0.25,1000000,8,132.452
3181,ENAR,AddDelta,0.75,100,10,0.0235
3182,ECAR,MissingValueNumeric,0.5,1000,8,0.156766
3183,ECAR,MissingValueNumeric,0.9,10000,8,1.844
3184,EAR,AddDelta,0.9,1000000,2,357.601
3185,EAR,MissingValueNumeric,0.1,100000,2,18.404
3186,EAR,MissingValueNumeric,0.25,1000000,2,215.795
3187,ENAR,AddDelta,0.25,100000,4,19.649
3188,EAR,MissingValueNumeric,0.5,100,4,0.030852
3189,ENAR,AddDelta,0.75,100,2,0.01725
3190,EAR,MissingValueNumeric,0.9,1000000,6,464.221
3191,EAR,MissingValueNumeric,0.1,1000000,8,332.682
3192,ENAR,MissingValueNumeric,0.1,1000,10,0.219273
3193,ENAR,MissingValueNumeric,0.9,1000,10,0.33021100000000003
3194,ENAR,MissingValueNumeric,0.25,1000000,6,201.052
3195,ENAR,AddDelta,0.25,1000,4,0.212945
3196,ECAR,AddDelta,0.5,10000,4,1.365
3197,ECAR,AddDelta,0.75,100000,2,12.457
3198,ECAR,AddDelta,0.9,100000,4,14.961
3199,EAR,AddDelta,0.5,10000,4,3.334
3200,EAR,AddDelta,0.25,1000000,2,230.009
3201,ECAR,AddDelta,0.9,100,10,0.014922000000000001
3202,ENAR,AddDelta,0.9,1000000,8,326.148
3203,ECAR,MissingValueNumeric,0.25,1000000,6,115.287
3204,ECAR,AddDelta,0.25,100,8,0.013359
3205,ECAR,AddDelta,0.5,1000,6,0.15590600000000002
3206,ECAR,AddDelta,0.9,1000,10,0.220938
3207,EAR,AddDelta,0.9,1000,4,0.404992
3208,ECAR,MissingValueNumeric,0.1,100,4,0.008141
3209,ECAR,AddDelta,0.1,10000,8,1.415
3210,EAR,MissingValueNumeric,0.25,1000000,6,316.792
3211,ECAR,MissingValueNumeric,0.1,100,10,0.013359
3212,ECAR,MissingValueNumeric,0.1,1000,4,0.08726600000000001
3213,ECAR,MissingValueNumeric,0.1,10000,2,0.7541559999999999
3214,EAR,AddDelta,0.1,1000000,10,398.105
3215,EAR,AddDelta,0.5,1000000,10,499.448
3216,EAR,AddDelta,0.5,1000,10,0.50943
3217,ENAR,AddDelta,0.75,1000000,10,322.72
3218,EAR,AddDelta,0.5,100000,10,47.683
3219,ENAR,AddDelta,0.5,1000,8,0.280352
3220,ECAR,MissingValueNumeric,0.1,100000,4,9.142
3221,EAR,AddDelta,0.25,1000,8,0.403914
3222,ECAR,AddDelta,0.1,10000,6,1.243
3223,EAR,MissingValueNumeric,0.1,1000,10,0.39739800000000003
3224,ENAR,MissingValueNumeric,0.1,10000,4,1.685
3225,ENAR,MissingValueNumeric,0.1,10000,6,1.856
3226,ECAR,MissingValueNumeric,0.75,1000,4,0.135281
3227,ECAR,MissingValueNumeric,0.5,10000,10,1.717
3228,ECAR,MissingValueNumeric,0.9,1000,2,0.133906
3229,ECAR,AddDelta,0.9,10000,4,1.663
3230,ECAR,MissingValueNumeric,0.5,1000,10,0.174875
3231,ENAR,MissingValueNumeric,0.9,10000,8,3.134
3232,ECAR,AddDelta,0.1,100000,6,12.481
3233,EAR,MissingValueNumeric,0.9,1000000,4,402.804
3234,ENAR,MissingValueNumeric,0.5,1000,2,0.209898
3235,ENAR,MissingValueNumeric,0.25,100000,8,21.46
3236,ECAR,MissingValueNumeric,0.5,100,8,0.011266
3237,EAR,AddDelta,0.9,100,8,0.047977
3238,ECAR,MissingValueNumeric,0.75,100,8,0.012266
3239,EAR,AddDelta,0.1,100000,4,24.947
3240,ENAR,MissingValueNumeric,0.9,1000,2,0.259898
3241,EAR,AddDelta,0.75,1000000,6,445.83
3242,EAR,MissingValueNumeric,0.25,100000,2,20.478
3243,ENAR,AddDelta,0.1,1000000,2,161.624
3244,EAR,AddDelta,0.5,1000,2,0.28268
3245,ENAR,AddDelta,0.5,100,6,0.019586
3246,ECAR,AddDelta,0.5,100,8,0.012359
3247,ECAR,AddDelta,0.1,1000000,2,89.3
3248,EAR,MissingValueNumeric,0.5,1000,4,0.32264800000000005
3249,ECAR,MissingValueNumeric,0.9,100,4,0.009141
3250,EAR,MissingValueNumeric,0.5,10000,2,2.618
3251,EAR,AddDelta,0.5,1000000,8,444.136
3252,ENAR,MissingValueNumeric,0.75,1000,10,0.311461
3253,ECAR,MissingValueNumeric,0.1,100000,2,7.426
3254,ECAR,MissingValueNumeric,0.5,100000,10,16.39
3255,ENAR,AddDelta,0.5,100,8,0.021929999999999998
3256,ENAR,AddDelta,0.25,100000,2,17.932
3257,EAR,AddDelta,0.1,100000,4,24.947
3258,ENAR,AddDelta,0.75,1000000,4,271.22
3259,ECAR,MissingValueNumeric,0.1,1000000,10,141.751
3260,ENAR,AddDelta,0.1,100,10,0.022711
3261,ENAR,MissingValueNumeric,0.9,100000,4,26.527
3262,ECAR,AddDelta,0.5,1000,4,0.138359
3263,ECAR,MissingValueNumeric,0.5,1000000,4,110.279
3264,ENAR,MissingValueNumeric,0.75,10000,4,2.601
3265,ECAR,AddDelta,0.25,10000,6,1.355
3266,ECAR,AddDelta,0.75,1000,2,0.134438
3267,EAR,MissingValueNumeric,0.75,1000,4,0.364664
3268,ENAR,AddDelta,0.9,1000,6,0.311773
3269,ENAR,MissingValueNumeric,0.9,1000000,10,326.099
3270,EAR,AddDelta,0.75,100000,4,36.927
3271,EAR,MissingValueNumeric,0.9,1000000,10,587.054
3272,ENAR,MissingValueNumeric,0.75,1000000,6,271.174
3273,ECAR,AddDelta,0.75,1000,2,0.134438
3274,EAR,AddDelta,0.75,100000,6,42.84
3275,ECAR,AddDelta,0.1,1000,6,0.121562
3276,EAR,MissingValueNumeric,0.9,100000,8,51.892
3277,EAR,AddDelta,0.1,100000,4,24.948
3278,ECAR,MissingValueNumeric,0.1,1000000,2,73.086
3279,ECAR,AddDelta,0.5,100,10,0.014484
3280,ENAR,MissingValueNumeric,0.9,100000,10,31.677
3281,ENAR,MissingValueNumeric,0.5,100000,2,19.194
3282,ENAR,AddDelta,0.25,100000,4,19.649
3283,ECAR,AddDelta,0.9,10000,2,1.491
3284,ENAR,MissingValueNumeric,0.1,10000,2,1.513
3285,EAR,MissingValueNumeric,0.25,10000,10,4.274
3286,ECAR,MissingValueNumeric,0.25,1000000,8,132.452
3287,ECAR,MissingValueNumeric,0.1,100,2,0.0065780000000000005
3288,EAR,AddDelta,0.5,10000,2,2.78
3289,ENAR,MissingValueNumeric,0.9,10000,10,3.305
3290,ENAR,MissingValueNumeric,0.25,10000,8,2.253
3291,EAR,AddDelta,0.1,100000,6,29.868
3292,EAR,AddDelta,0.5,10000,8,4.44
3293,ECAR,AddDelta,0.75,100,4,0.010266
3294,EAR,MissingValueNumeric,0.25,10000,8,3.759
3295,EAR,MissingValueNumeric,0.5,100,8,0.042664
3296,ECAR,MissingValueNumeric,0.1,10000,6,1.081
3297,EAR,AddDelta,0.9,1000,6,0.46793
3298,ECAR,MissingValueNumeric,0.25,100,8,0.011266
3299,ECAR,AddDelta,0.9,100,4,0.011266
3300,ECAR,AddDelta,0.5,1000,4,0.139359
3301,ECAR,AddDelta,0.1,100,10,0.013922
3302,EAR,AddDelta,0.1,100000,8,34.79
3303,ENAR,MissingValueNumeric,0.25,10000,8,2.252
3304,ECAR,MissingValueNumeric,0.25,1000,8,0.139094
3305,ENAR,AddDelta,0.25,1000,6,0.230523
3306,ECAR,MissingValueNumeric,0.5,100,4,0.008141
3307,ECAR,AddDelta,0.75,100000,2,12.457
3308,ENAR,AddDelta,0.1,1000000,10,230.289
3309,ECAR,MissingValueNumeric,0.5,100000,10,16.391
3310,ECAR,MissingValueNumeric,0.5,10000,6,1.374
3311,EAR,AddDelta,0.1,10000,6,3.104
3312,ENAR,AddDelta,0.9,100000,6,29.866
3313,EAR,AddDelta,0.1,100000,4,24.947
3314,EAR,MissingValueNumeric,0.9,10000,4,3.859
3315,EAR,MissingValueNumeric,0.5,1000000,10,483.235
3316,ENAR,MissingValueNumeric,0.1,10000,6,1.856
3317,EAR,AddDelta,0.9,1000,2,0.342055
3318,ECAR,AddDelta,0.5,100000,8,16.296
3319,ECAR,AddDelta,0.75,1000000,4,139.129
3320,ENAR,AddDelta,0.9,100,10,0.023727
3321,ECAR,AddDelta,0.5,100000,6,14.579
3322,ECAR,AddDelta,0.9,10000,8,2.006
3323,ECAR,MissingValueNumeric,0.1,100000,6,10.859
3324,ECAR,AddDelta,0.1,1000,4,0.10401600000000001
3325,EAR,AddDelta,0.75,1000,4,0.38038299999999997
3326,ENAR,AddDelta,0.1,1000,10,0.23599199999999998
3327,ENAR,AddDelta,0.5,1000,6,0.26177300000000003
3328,ECAR,MissingValueNumeric,0.1,1000,10,0.14
3329,EAR,AddDelta,0.9,1000000,4,419.018
3330,EAR,MissingValueNumeric,0.75,100,4,0.033016
3331,ECAR,MissingValueNumeric,0.9,100000,4,13.338
3332,ENAR,AddDelta,0.9,1000,6,0.311773
3333,ECAR,AddDelta,0.1,10000,2,0.9212809999999999
3334,ENAR,AddDelta,0.9,100000,10,33.299
3335,ECAR,MissingValueNumeric,0.1,100,6,0.009703
3336,ENAR,AddDelta,0.1,1000000,8,213.122
3337,ECAR,MissingValueNumeric,0.25,10000,8,1.364
3338,EAR,AddDelta,0.25,100,2,0.025453
3339,ECAR,MissingValueNumeric,0.25,1000,8,0.139094
3340,ENAR,MissingValueNumeric,0.75,10000,4,2.6
3341,ENAR,MissingValueNumeric,0.75,10000,2,2.428
3342,EAR,MissingValueNumeric,0.25,1000000,10,419.789
3343,ECAR,AddDelta,0.75,100000,4,14.174
3344,EAR,MissingValueNumeric,0.1,100000,8,33.167
3345,EAR,AddDelta,0.25,1000000,6,333.006
3346,EAR,AddDelta,0.25,10000,6,3.408
3347,ENAR,AddDelta,0.5,1000000,6,252.73
3348,EAR,MissingValueNumeric,0.75,1000,2,0.30307
3349,ENAR,MissingValueNumeric,0.75,1000000,6,271.173
3350,EAR,AddDelta,0.9,10000,2,3.409
3351,ECAR,MissingValueNumeric,0.9,1000,10,0.20421899999999998
3352,ECAR,MissingValueNumeric,0.25,100,8,0.012266
3353,ENAR,AddDelta,0.5,10000,4,2.417
3354,EAR,MissingValueNumeric,0.5,1000000,6,372.609
3355,ENAR,MissingValueNumeric,0.5,1000,6,0.246055
3356,ECAR,AddDelta,0.1,10000,10,1.586
3357,EAR,MissingValueNumeric,0.9,10000,10,5.702
3358,ECAR,MissingValueNumeric,0.75,1000000,4,122.916
3359,ECAR,MissingValueNumeric,0.1,10000,10,1.423
3360,ENAR,AddDelta,0.9,1000000,2,274.648
3361,ENAR,MissingValueNumeric,0.5,1000,2,0.209898
3362,ECAR,MissingValueNumeric,0.9,1000000,8,164.83
3363,ECAR,AddDelta,0.75,1000,6,0.169578
3364,ECAR,MissingValueNumeric,0.5,10000,6,1.374
3365,ENAR,AddDelta,0.9,1000,2,0.276617
3366,ECAR,AddDelta,0.9,10000,8,2.007
3367,ENAR,MissingValueNumeric,0.25,1000000,10,235.384
3368,ECAR,MissingValueNumeric,0.1,1000,10,0.14
3369,ECAR,AddDelta,0.25,1000,10,0.173391
3370,ENAR,MissingValueNumeric,0.5,10000,4,2.254
3371,ENAR,MissingValueNumeric,0.75,10000,6,2.772
3372,ECAR,AddDelta,0.9,1000,10,0.220938
3373,EAR,AddDelta,0.25,10000,2,2.378
3374,ENAR,MissingValueNumeric,0.1,10000,2,1.514
3375,ECAR,MissingValueNumeric,0.5,10000,8,1.545
3376,ECAR,MissingValueNumeric,0.5,10000,10,1.717
3377,ECAR,MissingValueNumeric,0.5,1000,8,0.157328
3378,ECAR,AddDelta,0.5,1000000,8,160.826
3379,ENAR,MissingValueNumeric,0.5,1000000,2,201.184
3380,ENAR,AddDelta,0.75,10000,8,3.106
3381,EAR,AddDelta,0.1,100000,2,20.026
3382,ECAR,AddDelta,0.5,1000000,8,160.825
3383,ECAR,AddDelta,0.25,1000,10,0.173391
3384,EAR,AddDelta,0.5,10000,8,4.44
3385,ECAR,MissingValueNumeric,0.1,100000,10,14.293
3386,ECAR,MissingValueNumeric,0.75,1000000,2,105.749
3387,EAR,AddDelta,0.1,100,6,0.034805
3388,ECAR,MissingValueNumeric,0.25,100000,2,8.212
3389,ECAR,AddDelta,0.25,1000000,10,165.833
3390,ECAR,AddDelta,0.9,1000000,6,163.877
3391,ENAR,MissingValueNumeric,0.9,10000,2,2.619
3392,ECAR,AddDelta,0.75,1000000,2,121.963
3393,ECAR,AddDelta,0.9,10000,8,2.006
3394,ECAR,AddDelta,0.75,10000,2,1.406
3395,ENAR,AddDelta,0.1,10000,4,1.848
3396,ENAR,AddDelta,0.9,10000,6,3.125
3397,ENAR,AddDelta,0.1,10000,2,1.676
3398,ECAR,AddDelta,0.9,1000000,4,146.711
3399,ECAR,MissingValueNumeric,0.1,100000,10,14.292
3400,ENAR,AddDelta,0.5,100000,4,22.533
3401,ENAR,AddDelta,0.5,100,6,0.019586
3402,EAR,MissingValueNumeric,0.25,1000000,4,265.294
3403,EAR,AddDelta,0.1,100,8,0.04032
3404,ENAR,MissingValueNumeric,0.5,100000,2,19.194
3405,ECAR,AddDelta,0.1,100000,6,12.481
3406,EAR,MissingValueNumeric,0.1,100000,4,23.326
3407,ENAR,MissingValueNumeric,0.5,100000,8,24.344
3408,ENAR,MissingValueNumeric,0.5,10000,6,2.426
3409,ECAR,MissingValueNumeric,0.25,100,4,0.008141
3410,ECAR,MissingValueNumeric,0.75,1000,4,0.135281
3411,ECAR,MissingValueNumeric,0.1,1000000,2,73.086
3412,ECAR,MissingValueNumeric,0.25,100,10,0.012827999999999999
3413,EAR,AddDelta,0.5,100000,2,25.557
3414,ECAR,MissingValueNumeric,0.5,1000,4,0.121609
3415,EAR,AddDelta,0.25,1000000,4,281.507
3416,EAR,AddDelta,0.25,100000,10,42.7
3417,EAR,MissingValueNumeric,0.1,100,8,0.040227
3418,ECAR,AddDelta,0.25,100,2,0.0076879999999999995
3419,ECAR,MissingValueNumeric,0.75,10000,6,1.586
3420,ENAR,MissingValueNumeric,0.9,1000000,8,308.933
3421,EAR,MissingValueNumeric,0.5,1000,4,0.32364800000000005
3422,EAR,AddDelta,0.5,10000,10,4.993
3423,ENAR,AddDelta,0.1,1000000,4,178.79
3424,ECAR,MissingValueNumeric,0.9,1000,4,0.151484
3425,ENAR,MissingValueNumeric,0.1,1000,2,0.148961
3426,ENAR,AddDelta,0.5,100000,4,22.533
3427,EAR,AddDelta,0.9,1000000,10,601.268
3428,ENAR,AddDelta,0.25,1000,2,0.19536699999999999
3429,ECAR,MissingValueNumeric,0.25,100000,10,15.079
3430,ECAR,MissingValueNumeric,0.5,100,10,0.012827999999999999
3431,EAR,MissingValueNumeric,0.25,100,4,0.029094000000000002
3432,ENAR,MissingValueNumeric,0.5,10000,2,2.083
3433,ENAR,AddDelta,0.1,10000,10,2.363
3434,ECAR,AddDelta,0.9,100,2,0.008688000000000001
3435,ECAR,MissingValueNumeric,0.75,1000000,4,122.916
3436,EAR,MissingValueNumeric,0.1,100,4,0.028977
3437,ENAR,MissingValueNumeric,0.1,100,8,0.020523
3438,ENAR,MissingValueNumeric,0.25,1000,8,0.231383
3439,ENAR,AddDelta,0.1,1000,6,0.20083600000000001
3440,EAR,AddDelta,0.75,1000000,2,327.574
3441,EAR,MissingValueNumeric,0.9,100000,4,39.608
3442,EAR,AddDelta,0.25,100,10,0.046344
3443,ECAR,MissingValueNumeric,0.25,1000,2,0.08635899999999999
3444,ECAR,MissingValueNumeric,0.75,100000,6,14.268
3445,EAR,AddDelta,0.5,1000000,8,444.135
3446,ECAR,AddDelta,0.9,1000000,10,198.209
3447,EAR,AddDelta,0.1,100,8,0.04032
3448,ENAR,AddDelta,0.9,1000,8,0.329352
3449,EAR,MissingValueNumeric,0.1,100000,10,38.089
3450,EAR,MissingValueNumeric,0.5,1000000,6,372.608
3451,EAR,MissingValueNumeric,0.25,100,2,0.024359000000000002
3452,ECAR,MissingValueNumeric,0.1,10000,8,1.252
3453,ENAR,MissingValueNumeric,0.1,1000000,6,178.743
3454,ENAR,MissingValueNumeric,0.1,1000,10,0.219273
3455,EAR,AddDelta,0.5,10000,4,3.334
3456,EAR,MissingValueNumeric,0.75,100000,4,35.305
3457,ENAR,MissingValueNumeric,0.1,100,8,0.020523
3458,EAR,AddDelta,0.1,10000,4,2.612
3459,ENAR,MissingValueNumeric,0.75,100,6,0.019867
3460,EAR,MissingValueNumeric,0.75,10000,2,3.02
3461,ENAR,AddDelta,0.9,100,8,0.022945
3462,ENAR,MissingValueNumeric,0.75,1000000,2,236.842
3463,ECAR,AddDelta,0.5,1000000,4,126.493
3464,EAR,MissingValueNumeric,0.9,100,8,0.046883
3465,ECAR,AddDelta,0.1,100,6,0.010797000000000001
3466,ECAR,AddDelta,0.5,100000,2,11.146
3467,EAR,MissingValueNumeric,0.5,100000,8,40.529
3468,EAR,AddDelta,0.1,100000,8,34.789
3469,ENAR,MissingValueNumeric,0.9,1000000,6,291.767
3470,EAR,MissingValueNumeric,0.9,100000,2,33.466
3471,ENAR,MissingValueNumeric,0.5,10000,2,2.082
3472,ECAR,AddDelta,0.9,100,8,0.013359
3473,ENAR,AddDelta,0.9,100,4,0.019039
3474,EAR,AddDelta,0.1,10000,8,3.597
3475,ENAR,MissingValueNumeric,0.25,1000,4,0.196227
3476,ENAR,AddDelta,0.75,1000,4,0.275445
3477,ECAR,AddDelta,0.25,100000,8,14.985
3478,ENAR,AddDelta,0.5,10000,10,2.932
3479,EAR,MissingValueNumeric,0.25,100,2,0.024359000000000002
3480,ENAR,AddDelta,0.9,1000000,8,326.147
3481,EAR,AddDelta,0.1,1000,8,0.36368
3482,ECAR,AddDelta,0.1,10000,4,1.071
3483,EAR,MissingValueNumeric,0.9,100,4,0.03382
3484,ENAR,MissingValueNumeric,0.1,100,6,0.018179999999999998
3485,EAR,MissingValueNumeric,0.9,1000000,8,525.638
3486,ENAR,AddDelta,0.75,100000,8,29.851
3487,EAR,AddDelta,0.25,100,6,0.036094
3488,ENAR,MissingValueNumeric,0.5,1000000,4,218.35
3489,ECAR,AddDelta,0.5,100,4,0.009266
3490,ENAR,AddDelta,0.75,100,4,0.018812000000000002
3491,ENAR,AddDelta,0.9,1000,6,0.311773
3492,ENAR,AddDelta,0.5,100000,8,25.967
3493,EAR,AddDelta,0.75,1000,2,0.319789
3494,ECAR,AddDelta,0.75,1000000,4,139.129
3495,EAR,AddDelta,0.9,100,6,0.041055
3496,EAR,AddDelta,0.25,100000,4,27.25
3497,EAR,AddDelta,0.5,1000,6,0.396055
3498,ENAR,MissingValueNumeric,0.5,100000,8,24.344
3499,EAR,MissingValueNumeric,0.9,1000000,6,464.221
3500,EAR,MissingValueNumeric,0.5,100000,6,34.998
3501,EAR,AddDelta,0.1,10000,8,3.596
3502,ENAR,MissingValueNumeric,0.1,100,2,0.015054999999999999
3503,ECAR,MissingValueNumeric,0.25,100000,2,8.212
3504,ECAR,MissingValueNumeric,0.9,1000000,2,113.332
3505,EAR,MissingValueNumeric,0.1,100,6,0.033711
3506,EAR,AddDelta,0.5,100,6,0.037461
3507,ECAR,AddDelta,0.75,10000,2,1.406
3508,ECAR,AddDelta,0.9,1000000,8,181.044
3509,ECAR,MissingValueNumeric,0.1,10000,10,1.423
3510,ENAR,MissingValueNumeric,0.5,100000,10,26.061
3511,EAR,AddDelta,0.75,100,4,0.034109
3512,EAR,AddDelta,0.25,100,10,0.046344
3513,ENAR,MissingValueNumeric,0.1,1000000,4,161.577
3514,ENAR,MissingValueNumeric,0.75,100,8,0.021625
3515,ECAR,AddDelta,0.9,1000000,8,181.043
3516,ENAR,AddDelta,0.75,100000,8,29.851
3517,ECAR,MissingValueNumeric,0.1,100000,4,9.143
3518,ECAR,AddDelta,0.75,100,4,0.010266
3519,ECAR,MissingValueNumeric,0.75,10000,2,1.243
3520,ECAR,MissingValueNumeric,0.75,100000,4,12.552
3521,ENAR,MissingValueNumeric,0.25,100000,6,19.743
3522,EAR,MissingValueNumeric,0.9,100000,8,51.892
3523,EAR,AddDelta,0.1,10000,6,3.104
3524,ENAR,AddDelta,0.75,100,8,0.022719
3525,EAR,MissingValueNumeric,0.9,1000000,2,341.388
3526,ECAR,MissingValueNumeric,0.9,1000,10,0.20421899999999998
3527,ECAR,MissingValueNumeric,0.1,100000,4,9.142
3528,ENAR,MissingValueNumeric,0.1,10000,2,1.513
3529,ENAR,AddDelta,0.25,1000000,2,183.933
3530,EAR,MissingValueNumeric,0.5,1000,8,0.43602300000000005
3531,ECAR,MissingValueNumeric,0.5,100000,2,9.525
3532,EAR,AddDelta,0.9,100,6,0.042055
3533,EAR,AddDelta,0.75,10000,6,4.366
3534,ENAR,MissingValueNumeric,0.5,10000,4,2.254
3535,ECAR,MissingValueNumeric,0.1,1000000,10,141.751
3536,EAR,AddDelta,0.25,1000,8,0.403914
3537,ECAR,AddDelta,0.75,1000000,6,156.295
3538,ENAR,MissingValueNumeric,0.75,100,2,0.016156
3539,ECAR,AddDelta,0.9,100,4,0.010266
3540,ENAR,AddDelta,0.75,100,6,0.020960999999999997
3541,ECAR,AddDelta,0.75,10000,8,1.921
3542,ECAR,MissingValueNumeric,0.9,1000000,10,181.996
3543,EAR,MissingValueNumeric,0.9,100,10,0.052242
3544,ECAR,MissingValueNumeric,0.5,100,6,0.009703
3545,ECAR,MissingValueNumeric,0.5,10000,2,1.03
3546,ENAR,AddDelta,0.1,100000,4,17.918
3547,ECAR,MissingValueNumeric,0.5,1000,6,0.14018799999999998
3548,ENAR,MissingValueNumeric,0.75,100000,4,24.796
3549,EAR,AddDelta,0.75,100,10,0.051828000000000006
3550,ECAR,AddDelta,0.25,100000,10,16.702
3551,ENAR,MissingValueNumeric,0.1,10000,4,1.685
3552,ECAR,AddDelta,0.5,100,2,0.008688000000000001
3553,ECAR,MissingValueNumeric,0.75,1000,2,0.117703
3554,EAR,MissingValueNumeric,0.5,1000000,8,427.921
3555,ECAR,MissingValueNumeric,0.5,100,2,0.0065780000000000005
