,mechanism,type,rate,nrow,ncol,seconds_runtime
106,EAR,AddDelta,0.25,100000,6,0.0717158317565918
107,EAR,AddDelta,0.25,100000,6,0.0721607208251953
108,EAR,AddDelta,0.25,100000,6,0.0690569877624511
109,EAR,AddDelta,0.25,100000,6,0.074009895324707
110,EAR,AddDelta,0.9,100000,4,0.1048073768615722
111,EAR,AddDelta,0.9,100000,4,0.0955679416656494
112,EAR,AddDelta,0.9,100000,4,0.0934619903564453
113,EAR,AddDelta,0.9,100000,4,0.0955233573913574
114,EAR,AddDelta,0.9,100000,4,0.0949723720550537
115,EAR,AddDelta,0.9,100000,4,0.0946872234344482
116,EAR,AddDelta,0.9,100000,4,0.0943291187286377
117,EAR,AddDelta,0.9,100000,4,0.0924992561340332
118,EAR,AddDelta,0.9,100000,4,0.0952262878417968
119,EAR,AddDelta,0.9,100000,4,0.1114187240600586
120,EAR,AddDelta,0.5,100000,6,0.087557315826416
121,EAR,AddDelta,0.5,100000,6,0.0810916423797607
122,EAR,AddDelta,0.5,100000,6,0.078244924545288
123,EAR,AddDelta,0.5,100000,6,0.0799064636230468
124,EAR,AddDelta,0.5,100000,6,0.0851268768310546
125,EAR,AddDelta,0.5,100000,6,0.0829231739044189
126,EAR,AddDelta,0.5,100000,6,0.0852947235107421
127,EAR,AddDelta,0.5,100000,6,0.0827245712280273
128,EAR,AddDelta,0.5,100000,6,0.0855758190155029
129,EAR,AddDelta,0.5,100000,6,0.0878276824951171
130,EAR,AddDelta,0.75,100000,6,0.1019413471221923
131,EAR,AddDelta,0.75,100000,6,0.0933034420013427
132,EAR,AddDelta,0.75,100000,6,0.1011059284210205
133,EAR,AddDelta,0.75,100000,6,0.0970754623413086
134,EAR,AddDelta,0.75,100000,6,0.0989432334899902
135,EAR,AddDelta,0.75,100000,6,0.0962340831756591
136,EAR,AddDelta,0.75,100000,6,0.0980143547058105
137,EAR,AddDelta,0.75,100000,6,0.0945284366607666
138,EAR,AddDelta,0.75,100000,6,0.0939249992370605
139,EAR,AddDelta,0.75,100000,6,0.0984845161437988
140,EAR,AddDelta,0.1,100000,8,0.0798485279083252
141,EAR,AddDelta,0.1,100000,8,0.0690512657165527
142,EAR,AddDelta,0.1,100000,8,0.071202278137207
143,EAR,AddDelta,0.1,100000,8,0.0751678943634033
144,EAR,AddDelta,0.1,100000,8,0.0717825889587402
145,EAR,AddDelta,0.1,100000,8,0.0710599422454834
146,EAR,AddDelta,0.1,100000,8,0.0740890502929687
147,EAR,AddDelta,0.1,100000,8,0.0810410976409912
148,EAR,AddDelta,0.1,100000,8,0.0731873512268066
149,EAR,AddDelta,0.1,100000,8,0.0677461624145507
150,EAR,AddDelta,0.25,100000,8,0.0857191085815429
151,EAR,AddDelta,0.25,100000,8,0.0810520648956298
152,EAR,AddDelta,0.25,100000,8,0.0781817436218261
153,EAR,AddDelta,0.25,100000,8,0.0729334354400634
154,EAR,AddDelta,0.25,100000,8,0.0765798091888427
155,EAR,AddDelta,0.25,100000,8,0.083982229232788
156,EAR,AddDelta,0.25,100000,8,0.0782668590545654
157,EAR,AddDelta,0.25,100000,8,0.0761637687683105
158,EAR,AddDelta,0.25,100000,8,0.0791599750518798
159,EAR,AddDelta,0.25,100000,8,0.0822820663452148
160,EAR,AddDelta,0.9,100000,6,0.1016371250152587
161,EAR,AddDelta,0.9,100000,6,0.1004869937896728
162,EAR,AddDelta,0.9,100000,6,0.1014604568481445
163,EAR,AddDelta,0.9,100000,6,0.098484992980957
164,EAR,AddDelta,0.9,100000,6,0.0986175537109375
165,EAR,AddDelta,0.9,100000,6,0.102079153060913
166,EAR,AddDelta,0.9,100000,6,0.1016707420349121
167,EAR,AddDelta,0.9,100000,6,0.1039555072784423
168,EAR,AddDelta,0.9,100000,6,0.1029155254364013
169,EAR,AddDelta,0.9,100000,6,0.0983896255493164
170,EAR,AddDelta,0.5,100000,8,0.0940299034118652
171,EAR,AddDelta,0.5,100000,8,0.0887849330902099
172,EAR,AddDelta,0.5,100000,8,0.0872681140899658
173,EAR,AddDelta,0.5,100000,8,0.0857961177825927
174,EAR,AddDelta,0.5,100000,8,0.0919182300567627
175,EAR,AddDelta,0.5,100000,8,0.0934808254241943
176,EAR,AddDelta,0.5,100000,8,0.0952720642089843
177,EAR,AddDelta,0.5,100000,8,0.0930814743041992
178,EAR,AddDelta,0.5,100000,8,0.0889301300048828
179,EAR,AddDelta,0.5,100000,8,0.0931496620178222
180,EAR,AddDelta,0.75,100000,8,0.1067593097686767
181,EAR,AddDelta,0.75,100000,8,0.0956020355224609
182,EAR,AddDelta,0.75,100000,8,0.0974214076995849
183,EAR,AddDelta,0.75,100000,8,0.098940372467041
184,EAR,AddDelta,0.75,100000,8,0.1062610149383544
185,EAR,AddDelta,0.75,100000,8,0.1104235649108886
186,EAR,AddDelta,0.75,100000,8,0.1113471984863281
187,EAR,AddDelta,0.75,100000,8,0.116241455078125
188,EAR,AddDelta,0.75,100000,8,0.1053552627563476
189,EAR,AddDelta,0.75,100000,8,0.0963170528411865
190,EAR,AddDelta,0.1,100000,10,0.1013216972351074
191,EAR,AddDelta,0.1,100000,10,0.095264196395874
192,EAR,AddDelta,0.1,100000,10,0.0912067890167236
193,EAR,AddDelta,0.1,100000,10,0.0882439613342285
194,EAR,AddDelta,0.1,100000,10,0.0743017196655273
195,EAR,AddDelta,0.1,100000,10,0.0850889682769775
196,EAR,AddDelta,0.1,100000,10,0.0803008079528808
197,EAR,AddDelta,0.1,100000,10,0.0773773193359375
198,EAR,AddDelta,0.1,100000,10,0.0782954692840576
199,EAR,AddDelta,0.1,100000,10,0.0892481803894043
200,EAR,AddDelta,0.9,100000,8,0.1173763275146484
201,EAR,AddDelta,0.9,100000,8,0.1162052154541015
202,EAR,AddDelta,0.9,100000,8,0.1145031452178955
203,EAR,AddDelta,0.9,100000,8,0.116922378540039
204,EAR,AddDelta,0.9,100000,8,0.1184535026550293
205,EAR,AddDelta,0.9,100000,8,0.1119332313537597
206,EAR,AddDelta,0.9,100000,8,0.1099212169647216
207,EAR,AddDelta,0.9,100000,8,0.1091141700744628
208,EAR,AddDelta,0.9,100000,8,0.1093087196350097
209,EAR,AddDelta,0.9,100000,8,0.1164932250976562
210,EAR,AddDelta,0.1,10000,2,0.0092394351959228
211,EAR,AddDelta,0.1,10000,2,0.0084002017974853
212,EAR,AddDelta,0.1,10000,2,0.0070147514343261
213,EAR,AddDelta,0.1,10000,2,0.0072238445281982
214,EAR,AddDelta,0.1,10000,2,0.0072572231292724
215,EAR,AddDelta,0.1,10000,2,0.0077953338623046
216,EAR,AddDelta,0.1,10000,2,0.0076990127563476
217,EAR,AddDelta,0.1,10000,2,0.0074901580810546
218,EAR,AddDelta,0.1,10000,2,0.0068445205688476
219,EAR,AddDelta,0.1,10000,2,0.0070881843566894
